journal	n	included
1	50640	30621
2	557	76
3	124	75
4	1326	375
5	8	0
6	293	114
7	505	0
8	431	170
9	71	0
10	352	92
11	176	0
12	1	0
13	227	0
14	7249	5249
15	834	7
16	22	0
17	30	0
18	9	0
19	506	0
20	545	0
21	73	0
22	851	394
23	331	0
24	287	105
25	297	0
26	227	0
27	41	0
28	142	0
29	152	0
30	1065	0
31	2547	1195
32	173	0
33	1019	227
34	152	0
35	38	0
36	42	0
37	51	28
38	313	192
39	1290	0
40	12	2
41	306	0
42	20	1
43	634	142
44	62	29
45	10	0
46	16	0
47	42	0
48	1104	0
49	19	0
50	66	26
51	1028	0
52	63	0
53	151	0
54	277	171
55	136	56
56	563	304
57	57	0
58	249	0
59	80	0
60	187	0
61	92	38
62	45	0
63	7	2
64	481	0
65	135	0
66	99	0
67	809	362
68	46	0
69	58	0
70	53	0
71	19	0
72	245	0
73	194	0
74	6	0
75	32	0
76	157	0
77	89	32
78	1231	0
79	38	0
80	60	0
81	51	0
82	410	1
83	1347	0
84	50	0
85	36	0
86	115	0
87	267	0
88	108	0
89	1	0
90	222	145
91	127	42
92	34	12
93	348	0
94	56	0
95	2597	0
96	20	0
97	94	34
98	16	0
99	55	0
100	160	0
101	77	2
102	21	0
103	1	0
104	162	55
105	89	0
106	46	0
107	20	0
108	815	439
109	80	0
110	337	0
111	2	0
112	33	0
113	60	0
114	198	0
115	253	0
116	77	0
117	131	112
118	359	1
119	155	0
120	224	0
121	36	11
122	51	29
123	176	0
124	17	5
125	362	60
126	122	0
127	414	3
128	221	84
129	11	0
130	3	0
131	220	85
132	72	0
133	6	0
134	146	0
135	219	107
136	148	0
137	84	0
138	9	0
139	226	140
140	389	0
141	350	4
142	827	238
143	16	0
144	357	0
145	389	0
146	161	0
147	170	48
148	244	0
149	139	0
150	25	8
151	2	0
152	15	0
153	565	7
154	96	0
155	49	0
156	10	0
157	43	28
158	259	0
159	84	0
160	83	0
161	83	0
162	48	0
163	124	0
164	412	63
165	1296	747
166	17	7
167	656	214
168	749	160
169	45	0
170	76	0
171	34	0
172	287	0
173	33	0
174	2598	1702
175	184	0
176	733	242
177	695	423
178	80	0
179	33	0
180	42	0
181	16	3
182	4	0
183	211	1
184	20	7
185	97	0
186	555	2
187	181	0
188	2317	1501
189	829	514
190	42	0
191	68	20
192	90	27
193	11	0
194	48	0
195	67	0
196	51	10
197	18	3
198	72	0
199	389	115
200	3	0
201	1779	789
202	175	0
203	62	38
204	183	33
205	146	92
206	1091	420
207	506	0
208	415	165
209	99	0
210	181	0
211	229	0
212	10	0
213	104	0
214	302	0
215	29	0
216	79	18
217	15	0
218	6	1
219	336	0
220	15	0
221	23	0
222	982	91
223	637	0
224	297	0
225	1545	674
226	322	201
227	7	0
228	46	0
229	8	0
230	102	47
231	958	0
232	100	50
233	367	264
234	353	212
235	1652	1040
236	70	42
237	434	179
238	396	23
239	295	215
240	1199	686
241	10	0
242	242	33
243	19	0
244	265	0
245	14	0
246	111	0
247	921	262
248	62	9
249	5398	3620
250	78	0
251	1361	345
252	3729	2329
253	212	0
254	116	39
255	356	203
256	174	0
257	124	76
258	1190	12
259	145	37
260	3097	2300
261	27	0
262	198	0
263	10	0
264	1413	850
265	77	2
266	1613	792
267	2290	1223
268	111	82
269	123	75
270	125	0
271	84	0
272	236	15
273	638	0
274	198	77
275	1193	762
276	202	134
277	263	55
278	5270	2878
279	2242	929
280	780	345
281	893	254
282	63	52
283	3569	46
284	987	607
285	1	0
286	14	0
287	340	58
288	1120	669
289	216	28
290	1770	1183
291	2515	1632
292	973	523
293	32	11
294	27	0
295	3799	2544
296	17	0
297	22	0
298	49	0
299	68	0
300	351	30
301	201	0
302	436	312
303	473	151
304	537	366
305	426	290
306	1540	144
307	93	56
308	562	192
309	459	169
310	2122	1407
311	9	0
312	22	0
313	1	0
314	447	344
315	687	457
316	998	483
317	164	75
318	957	578
319	311	126
320	1740	0
321	1534	854
322	462	0
323	2	0
324	33	0
325	85	0
326	70	0
327	776	150
328	162	56
329	310	84
330	24	0
331	314	188
332	1402	1064
333	648	387
334	86	0
335	188	78
336	722	205
337	734	5
338	13	0
339	17	5
340	92	11
341	235	1
342	2248	1311
343	563	59
344	41	16
345	438	0
346	412	267
347	3417	2256
348	429	140
349	67	0
350	67	3
351	1327	872
352	289	164
353	396	125
354	112	30
355	309	112
356	733	291
357	396	245
358	161	47
359	1702	1222
360	94	64
361	8	0
362	135	95
363	547	209
364	114	0
365	640	282
366	1305	931
367	36	0
368	6	0
369	102	0
370	766	366
371	418	291
372	816	441
373	4618	3416
374	204	134
375	28	0
376	50	25
377	64	0
378	279	85
379	743	243
380	5	0
381	271	115
382	361	0
383	555	288
384	1711	1176
385	125	25
386	362	1
387	171	0
388	948	479
389	181	72
390	24	0
391	1010	419
392	352	240
393	1342	254
394	58	43
395	225	0
396	1503	994
397	300	0
398	2088	4
399	342	114
400	2400	1684
401	263	91
402	2037	1040
403	79	0
404	759	305
405	72	0
406	1731	980
407	177	0
408	444	145
409	317	113
410	1166	641
411	49	0
412	467	104
413	891	348
414	301	210
415	346	0
416	30	0
417	298	250
418	10	0
419	3198	941
420	136	44
421	1360	892
422	231	157
423	74	27
424	49	0
425	1178	692
426	626	204
427	29	0
428	154	118
429	151	35
430	317	142
431	134	72
432	422	256
433	25	4
434	52	0
435	294	99
436	2	1
437	22	0
438	1401	704
439	34	0
440	166	71
441	121	48
442	455	312
443	1167	804
444	1711	973
445	133	58
446	237	87
447	677	483
448	721	0
449	321	220
450	1548	707
451	583	380
452	425	0
453	724	461
454	540	179
455	248	142
456	111	51
457	614	425
458	61	0
459	45	0
460	1105	786
461	2016	1020
462	667	255
463	27	10
464	278	128
465	406	306
466	6	0
467	106	0
468	78	34
469	2523	1574
470	76	35
471	36	25
472	20	0
473	55	13
474	701	510
475	517	162
476	1203	616
477	297	185
478	71	0
479	322	1
480	214	38
481	1962	4
482	59	0
483	371	204
484	322	92
485	6789	4759
486	1149	657
487	32	28
488	141	0
489	127	0
490	5	0
491	2203	1542
492	279	0
493	1278	896
494	2	0
495	17	3
496	201	0
497	191	0
498	120	15
499	4	1
500	17	0
501	128	0
502	109	24
503	258	75
504	3661	2643
505	1192	782
506	785	244
507	682	542
508	252	1
509	153	0
510	790	375
511	492	0
512	442	229
513	595	161
514	607	235
515	1401	9
516	1140	842
517	825	11
518	142	29
519	35	0
520	51	9
521	399	280
522	253	78
523	307	0
524	10	1
525	307	0
526	485	320
527	214	0
528	9	0
529	263	151
530	753	340
531	394	165
532	71	19
533	19	0
534	1205	475
535	36	0
536	2959	1438
537	126	86
538	2937	1777
539	254	187
540	357	130
541	545	31
542	88	55
543	119	42
544	310	180
545	256	78
546	169	0
547	979	503
548	2778	1702
549	110	76
550	1304	888
551	53	0
552	311	218
553	2	1
554	133	46
555	62	0
556	409	179
557	214	67
558	361	136
559	31	13
560	407	158
561	15	6
562	109	46
563	38	0
564	462	290
565	125	72
566	58	24
567	1022	358
568	1155	678
569	2015	1316
570	2720	1329
571	33	0
572	369	0
573	181	105
574	197	0
575	324	85
576	138	73
577	2013	892
578	281	90
579	74	0
580	77	0
581	1733	1169
582	266	71
583	29	16
584	41	0
585	803	532
586	515	327
587	154	107
588	105	75
589	111	0
590	77	0
591	3	0
592	126	92
593	1462	13
594	2274	1608
595	271	8
596	636	297
597	56	0
598	702	409
599	49	19
600	214	144
601	477	0
602	321	65
603	77	0
604	11	1
605	1607	895
606	89	28
607	2701	1520
608	2	0
609	106	31
610	356	190
611	3306	568
612	27	4
613	558	232
614	356	145
615	101	0
616	1852	680
617	360	144
618	245	46
619	238	48
620	225	77
621	368	90
622	241	0
623	286	180
624	294	193
625	216	152
626	62	0
627	730	193
628	151	112
629	179	113
630	2240	1596
631	963	390
632	334	119
633	244	182
634	1092	0
635	2285	1491
