reference	Field	Study type	Nation	N 	Period	Data	Indicator	Statistical approach	Key result
[@Bohm2015]	Cardiology	Observation	GE	1905 abstracts, 366 abstracts by women	2006-2010	Authors of abstracts submitted to the annual meetings of the German Cardiac Society	Journal impact factor	Mann–Whitney-U-Test. Only mean values are reported as results.	On average, women had published in journals with higher impact factor scores than men (women: 5.1 ± 0.2, Men: 4.4 ±, p= 0.000).
[@Choi2009]	Radiation oncology	Observation	US	826 authors, 234 women	1997-2007	Faculty at 78 US Radiation oncology departments	H-index.	Not specified	When stratified by academic rank no notable differences were found between women’s and men’s H-indices at the assistant professor, associate professor and full professor level. On average, women department chairs had lower H-indices than men department chairs. Results for full sample, men: N=592, Mean= 9.4 (95% CI: 8.7-10.01), women: N=234, Mean= 6.4 (95% CI: 5.5-7.4). Results for assistant professors, men: N= 188, Mean= 4 (95% CI: 3.4-4.6), women: N= 102 Mean= 4 (95% CI: 3.0-4.9). Results for associate professors, men: N= 131,  Mean= 9.7 (95% CI: 8.6-10.8), women: N=46, Mean= 8 (95% CI: 6.2-9.8) Results for full professors, men: N=94, Mean= 17 (95% CI: 14.7-18.8), women: N=23, Mean= 17 (95% CI: 12.3-20.1). Results for department chairs, men: N=68, Mean= 18 (95% CI: 15.7-20.8), women: N= 11, Mean= 16 (95% CI: 12.7-19.8).
[@Eloy2013]	34 specialties	Observation	US	9,952 authors, 3,133 women	2012	25 institutions from the AMA’s Fellowship and Residency Electronic	H-index	Mann-Whitney U-test and Kruskall -Wallis Rank sum test. Only mean values are reported as results.	Women had lower average H-indices at all academic ranks from assistant professor level to chair/chief level. Interactive database. Results for full sample, women: N=3133, Mean= 5.59, men: N=6819, Mean= 10.25, p<0.0001. Results for assistant professors, women: N=1882, Mean= 3.77, men: N=2650, Mean= 2.60, p<0.0005. Results for associate professors: women: N=721, Mean= 7.14, men: N=1525, Mean= 8.76, p<0.0005. Results for full professors, women: N= 430, Mean= 14.65, men: N=2057 Mean= 17.22, p<0.0005. Results for department chairs, women: N= 100, Mean= 11.72, men: N=587, Mean= 18.98, p<0.0005.
[@Frandsen2015]	Clinical research	Observation	DK	134 researchers, 73 women	Five year period	PhDs enrolled at the Institute of Clinical Research, University of Southern Denmark.	Cumulative citation impact	Student’s t-test	In a comparison of male and female PhDs matched on sub-discipline, education, age and enrollment year, no notable average gender difference was found with respect to citation impact (women: Mean= 99.11, men: Mean= 105.95, p=0.798).
[@Holliday2014]	Radiation oncology	Observation	US	1,031 authors, 293 women	1996-2012	Faculty at 82 US academic radiation oncology departments	H-index and m-index	Mann-Whitney-U test	On average, women had slightly lower median m-indices than men (women: 0.47, men: 0.58, p<.05). On average, women had lower H-indices than men (women: 5, men: 8, p<.05). When stratified by rank, average differences in H-indices in favor of men were shown for all ranks with the exception of the assistant professor level. When stratified by rank, no statistically significant gender differences were shown for the m-quotient.
[@Housri2008]	Academic surgery	Observation	GE	994 abstracts, 96 with women authors	2000-2004	Authors of abstracts presented at the annual meetings of the German Association for Academic Surgery (GAAS) and the Society of University Surgeons (SUS)	Citation-rates per paper and journal impact factor	Student’s t-test 	Results for SUS (N= 37 women and 300 men): No notable gender differences were observed in citation-rates per paper (women: 12.10 ± 4.47, men: 9.48 ± 0.60, p= 0.255). Gender differences in average. Journal impact factors were Gender differences in Journal Impact Factor scores were statistically insignificant (women: 3.27 ± 0.43, men: 2.67 ± 0.1, p= 0.063). The inconsequential results may be due to the small number of women included in the comparisons. Results for GAAS (N= 59 women and 590 men): Gender differences in average citation-rates per paper were statistically insignificant (women: 5.80 ± 0.98, men: 4.910 ± 0.35, p= 0.389). statistically insignificant (women: 4.741 ± 0.99, men: 3.348 ± 0.14, p= 0.063). 
[@Ingram2015]	Pediatric pulmonology	Observation	US	85 authors, 35 women	2014-2015	10 top-ranked departments in Pediatric pulmonology	H-index and m-quotient	Kruskal–Wallis  rank sum test	Women had notably lower median H-indices than men (women: 3, men: 11, p= 0.002). Median-based gender differences for m-quotients were smaller and statistically insignificant (women: 0.41, men: 0.57, p=.09). This inconsequential result may be due to the samples used in the comparisons.
[@Klimo2014]	Neurosurgery	Observation	US/CA	312 authors, 52 women	2008-2013	Database of all neurosurgeons in North America	H-index and m-quotient	Not specified	Women had lower average H-indices than men (women: Mean= 8, men: Mean= 14, p= 0.001). Women had slightly lower m-quotients than men (women: Mean= 0.66, men: Mean= 0.52, p: 0.013) 
[@Lariviere2011]	Health (broad)	Observation	CA	6,231 authors (also includes other fields)	2000-2008	University and Clinical Professors at the universities in Quebec	Specialty-normalized journal impact factors and citations per paper	Comparison of mean values	On average, women published in slightly less prestigious journals (women: 1.17, men: 1.27) and had lower citation rates per paper (women: 1.23, men: 1.47).
[@Martinez2015]	Musculoskeletal tumor research 	Observation	US	505 authors, 28 women	2013	Members of the Musculoskeletal Tumor Society	H-index	Multiple regression analysis	In a regression analysis adjusting for academic rank and experience, author gender was a statistically insignificant (p = 0.48) predictor of the H-index (No beta coefficient provided). 
[@Mueller2016]	Surgery	Observation, cohort study	US	978 faculty, 234 women	1950-2009	Full-time faculty members of surgery departments of three academic centers 	H-index, Cumulative citations	Student’s T-test	At the assistant professor level women had lower average H-indices than men (women: Mean= 8.15 (SD=6.41), men: Mean= 11.42 (SD=7.93), p= 0.002). No statistically significant gender differences in H-indices were identified for associate and full professors (numerical results and stratified sample sizes not reported). Likewise, no statistically significant differences were detected in the cumulative citation impact of women and men across the three ranks (numerical results and stratified sample sizes not reported). The inconsequential results may be explained by the small samples employed in each of the sub-group analyses.
[@Mirnezami2016]	Medical science	Observation	CA	1270 (Gender composition not specified)	2000-2012	Database of university funding in Quebec, disambiguated by gender	Discipline-normalized citation rates per paper	Random effect 2SLS regressions	Adjusting for multiple covariates including Journal Impact Factor, age and research funding, no statistically significant gender difference was detected in average citation rates per paper. Main predictor (0=male, 1=female): β= 0.0095, p>0.05. 
[@Nielsen2016]	Medical sciences (broad)	Observation	DK	1,714 authors, 568 women	2009	Medical researchers at Aarhus University. Data retrieved from Web of Science	Self-citations, field-normalized citations per paper, Source normalized impact per paper	Mann-Whitney U-test	Women accrued lower average field-normalized citations per paper than men (women: Median= 0.72, men: Median= 0.87, p= 0.015). Women had lower source normalized impact per paper than men (women: Median: 1.26, men: Median: 1.17, p =0.01 )
